metric_key,section,metric_label,unit,icon,sort_order,show_on_dashboard,goal,sub
overall_health_score,system,Overall Organizational Health,score,fa-gauge-high,1.0,Y,85.0,"Composite of mission, finance, and sustainability indicators."
mission_index,system,Mission Impact Index,score,fa-bullseye,2.0,Y,88.0,Are we achieving what we exist to do?
financial_index,system,Financial Strength Index,score,fa-chart-line,3.0,Y,82.0,Are we operating like a healthy organization?
sustainability_index,system,Sustainability Index,score,fa-seedling,4.0,Y,80.0,Will we remain relevant and grow?
students_impacted,mission,Households Reached,percent,fa-user-graduate,1.0,Y,31.0,Percent of regional students served.
population_reached,mission,Population Reached,number,fa-people-group,2.0,Y,101000.0,Annual engagements.
schools_reached,mission,Schools Reached,percent,fa-school,3.0,Y,50.0,Percent of North Dakota schools served.
earned_revenue_ratio,financial,Earned Revenue Ratio,percent,fa-hand-holding-dollar,1.0,Y,70.0,Earned revenue share.
program_spending,financial,Program Spending,percent,fa-bullseye,2.0,Y,85.0,Percent of expenses directed to programs.
revenue_diversity,financial,Revenue Diversity,number,fa-chart-pie,3.0,Y,15.0,Number of meaningful revenue streams.
non_local_participation,sustainability,Non-Local Participation,percent,fa-map,1.0,Y,65.0,Participation from outside the local market.
outreach_participation,sustainability,Outreach Participation,percent,fa-truck,2.0,Y,18.0,Offsite and outreach engagement share.
strategic_partnerships,sustainability,Strategic Partnerships,number,fa-handshake,3.0,Y,12.0,Active or emerging strategic partnerships.
